time,time-dur,lat,lon,dep,strike,dip,rake,Mo(Nm),slip_all,x,y,xinc,yinc,segnum,subnum,parnum,lon1,lat1,lon2,lat2,lon3,lat3,lon4,lat4,up_middle_lon,up_middle_lat,down_middle_lon,down_middle_lat,xx,xy,xz,yy,yz,zz
12.92,8.0,32.923,131.035,1.703,228.543,70.491,155.0,1.217e+17,0.312,-30.273000000000003,11.265999999999998,4.33,3.61,1.0,1.0,1.0,131.01338757701194,32.914147805419645,131.048083717464,32.93999657379606,131.05661548590342,32.931849628830726,131.0219225246362,32.906000826711136,131.03926648403842,32.91892644474266,131.03073312499063,32.92707340695434,13383642.450793061,-254826.17333099886,1118018.9621447609,11216446.063023526,-1477697.7588578754,15334087.927832222
12.481,8.0,32.93,131.025,4.7010000000000005,229.53,67.96300000000001,0.0,0.0,0.0,-30.283,7.526,4.31,3.78,1.0,2.0,17.0,131.0025513284098,32.92225111585792,131.0376106855473,32.947474933810824,131.04745118871014,32.93774622229761,131.01239566874966,32.912522365020024,131.0299209421508,32.92513553539888,131.02007851920294,32.93486426703123,11343192.720604913,-871448.2598709889,890682.3965884327,10704115.354016194,-128185.9362311302,15617702.577985719
12.212,8.0,32.938,131.013,8.717,230.678,72.418,0.0,0.0,0.0,-30.307,3.68,4.29,3.83,1.0,3.0,33.0,130.99133809848666,32.92977763659257,131.02682712938983,32.95428975914937,131.03466482881984,32.94621971019437,130.9991790209155,32.92170755593379,131.01691947795973,32.93396490462533,131.0090801660537,32.942034969820384,8463129.662747197,-562365.2234661373,1785165.6698709216,9247359.462311555,519630.5679806516,16085836.247446913
12.137,8.0,32.945,131.003,12.0,231.623,69.292,0.0,0.0,0.0,-30.342,0.0,4.29,3.51,1.0,4.0,49.0,130.98089881780166,32.937377684176234,131.01686544172287,32.96139291105985,131.02510386069613,32.95261958269539,130.98914078874046,32.92860432204005,131.0071198945504,32.940613257688305,130.9988796985399,32.94938660337192,6886567.058259072,-463541.10106150154,2533879.4314281372,8115221.889579738,507173.8638277401,15503667.317445168
12.218,8.0,32.952,130.993,15.283,233.105,68.959,155.0,2.624e+17,0.45,-30.345,-3.4989999999999997,4.26,3.52,1.0,5.0,65.0,130.9707261531035,32.945025068302485,131.00716376613312,32.96808555370048,131.01527629158414,32.958972135683304,130.97884241752126,32.93591161659543,130.99705698982913,32.947443214797175,130.9889425938289,32.95655665012107,5788840.4059761055,-449895.3971754696,2968820.6535247164,7133781.698325556,395818.4137035845,14678069.121392779
12.454,8.0,32.959,130.982,18.566,234.78799999999998,69.10600000000001,155.0,6.768e+17,1.169,-30.339000000000002,-6.994,4.23,3.51,1.0,6.0,81.0,130.95965905061905,32.95261341024821,130.99662508572743,32.97460573416224,131.00434320678534,32.96538372957833,130.96738101109005,32.943391373148536,130.9858598204365,32.95438892799882,130.9781397786283,32.963610949321364,4956834.240036579,-456869.79025620356,3179628.304965497,6265545.397722052,269750.84360971994,13831700.25645173
12.838,8.0,32.967,130.971,21.849,234.78799999999998,69.10600000000001,155.0,1.571e+17,0.257,-30.333000000000002,-10.49,4.22,3.51,1.0,7.0,97.0,130.9487007257359,32.960639420129255,130.98558269487845,32.982579724592505,130.9933015154731,32.973357731798636,130.95642337818242,32.9514173948925,130.974860168233,32.96238893389481,130.9671394306732,32.97161094338866,4292859.061810679,-464595.6280223714,3236091.6333559994,5489561.262817571,132946.17797978624,13066274.385652065
11.324000000000002,8.0,32.897,131.0,1.703,227.425,69.556,-132.4,6.688e+17,1.6980000000000002,-25.967,11.279000000000002,4.34,3.63,1.0,8.0,113.0,130.97833790564792,32.887970308181416,131.01249820691194,32.914446195648104,131.0216651259698,32.90602717788528,130.98750805609345,32.879551254717214,131.00458405107048,32.89279039655384,130.99541551526102,32.901209432542906,13000847.020485107,39547.56134747123,843072.2869134482,9458135.86184419,312288.2472895818,13316993.938386278
10.822000000000001,8.0,32.904,130.99,4.7010000000000005,229.03,66.933,-127.46,5.351e+17,1.107,-25.986,7.5329999999999995,4.31,3.81,1.0,9.0,129.0,130.96737773603274,32.896339810474466,131.0021646429439,32.92182077003447,131.01262466075323,32.91165754187933,130.97784172727424,32.88617654083648,130.9952307041236,32.89891826382147,130.98476869834644,32.90908151318793,10201688.854500256,-506697.3238909319,1720390.6938843648,9900223.80541467,858716.5216678007,14514926.726135055
10.51,8.0,32.913000000000004,130.977,8.717,230.93,71.498,156.675,5.947e+17,1.224,-26.017,3.682,4.29,3.85,1.0,10.0,145.0,130.95508308574472,32.905084902798315,130.99068971093294,32.92946527054387,130.998919686464,32.92091241649917,130.9633164851204,32.89653201534688,130.98111564634848,32.908723495200206,130.97288395786313,32.91727636636236,7649519.517704372,-389126.3246670884,2987044.282116948,8808284.457715422,890033.9955896076,14345199.85795092
10.422,8.0,32.921,130.967,12.0,232.49599999999998,67.756,156.22899999999998,6.34e+17,1.288,-26.054000000000002,0.0,4.28,3.55,1.0,11.0,161.0,130.94447768383012,32.91405723106668,130.98077963328242,32.93755283224015,130.98952467718814,32.92793997275161,130.95322665224538,32.90444433538913,130.97137326723342,32.91619348260407,130.96262625993296,32.92580636067065,6458201.503394835,-355395.05380925594,3523764.700735771,7819925.855983537,713362.2888784513,13658845.556599863
10.522,8.0,32.929,130.95600000000002,15.283,233.636,67.288,163.836,1.162e+18,1.972,-26.070999999999998,-3.4960000000000004,4.26,3.56,1.0,12.0,177.0,130.93330518508935,32.9226012843312,130.9699854112195,32.94537616896089,130.97869696547517,32.93539586626276,130.94202085757794,32.91262094520867,130.96035656267415,32.92400976135519,130.9516429481425,32.93399008277792,5597675.681925886,-370215.1575712471,3754749.8796596024,6927457.6297982745,559359.429859933,12891833.521411601
10.8,8.0,32.937,130.945,18.566,234.643,67.485,159.595,1.233e+18,2.105,-26.079,-6.989,4.24,3.55,1.0,13.0,193.0,130.92230728202892,32.93093519435721,130.95928540994595,32.95305856514769,130.9676947678853,32.94306192300956,130.9307207997204,32.92093851677427,130.94920548290784,32.93200159703549,130.94079404395478,32.94199825741751,4911732.144326829,-393036.42146609735,3794929.585239699,6128836.905931672,420231.2881142094,12217906.553497847
